Connected
         12897911 function calls (12747062 primitive calls) in 105.288 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        3    0.000    0.000    0.000    0.000 pkg_resources.py:1643(register_finder)
        1    0.000    0.000    0.000    0.000 pkg_resources.py:165(ResolutionError)
       24    0.000    0.000    0.001    0.000 pkg_resources.py:1653(find_distributions)
        4    0.000    0.000    0.000    0.000 pkg_resources.py:1659(find_in_zip)
        4    0.000    0.000    0.000    0.000 pkg_resources.py:1682(find_nothing)
       22    0.001    0.000    0.003    0.000 pkg_resources.py:1686(find_on_path)
        1    0.000    0.000    0.000    0.000 pkg_resources.py:169(VersionConflict)
        1    0.000    0.000    0.000    0.000 pkg_resources.py:172(DistributionNotFound)
        3    0.000    0.000    0.000    0.000 pkg_resources.py:1726(register_namespace_handler)
        1    0.000    0.000    0.000    0.000 pkg_resources.py:175(UnknownExtra)
        3    0.000    0.000    0.000    0.000 pkg_resources.py:1795(fixup_namespace_packages)
       14    0.000    0.000    0.000    0.000 pkg_resources.py:1827(normalize_path)
       55    0.000    0.000    0.000    0.000 pkg_resources.py:1831(_normalize_cached)
        3    0.000    0.000    0.000    0.000 pkg_resources.py:185(register_loader_type)
        1    0.000    0.000    0.000    0.000 pkg_resources.py:1929(EntryPoint)
        2    0.000    0.000    0.000    0.000 pkg_resources.py:194(get_provider)
        1    0.000    0.000    0.000    0.000 pkg_resources.py:2052(Distribution)
        6    0.000    0.000    0.000    0.000 pkg_resources.py:2054(__init__)
        6    0.000    0.000    0.000    0.000 pkg_resources.py:2068(from_location)
       21    0.000    0.000    0.000    0.000 pkg_resources.py:2098(key)
        1    0.001    0.001    0.002    0.002 pkg_resources.py:215(get_build_platform)
        3    0.000    0.000    0.000    0.000 pkg_resources.py:2161(_get_metadata)
        3    0.000    0.000    0.000    0.000 pkg_resources.py:2166(activate)
        9    0.000    0.000    0.000    0.000 pkg_resources.py:2198(__getattr__)
        4    0.000    0.000    0.000    0.000 pkg_resources.py:2205(from_filename)
        3    0.000    0.000    0.000    0.000 pkg_resources.py:2257(insert_on)
        1    0.000    0.000    0.000    0.000 pkg_resources.py:2462(Requirement)
       26    0.000    0.000    0.000    0.000 pkg_resources.py:2530(_get_mro)
       18    0.000    0.000    0.000    0.000 pkg_resources.py:2533(cls)
       26    0.000    0.000    0.001    0.000 pkg_resources.py:2537(_find_adapter)
        1    0.000    0.000    0.000    0.000 pkg_resources.py:2587(_initialize)
        3    0.000    0.000    0.000    0.000 pkg_resources.py:2623(<lambda>)
        1    0.000    0.000    0.000    0.000 pkg_resources.py:329(IMetadataProvider)
        1    0.000    0.000    0.000    0.000 pkg_resources.py:370(IResourceProvider)
        1    0.000    0.000    0.000    0.000 pkg_resources.py:411(WorkingSet)
        1    0.000    0.000    0.002    0.002 pkg_resources.py:414(__init__)
       24    0.000    0.000    0.004    0.000 pkg_resources.py:428(add_entry)
        4    0.000    0.000    0.000    0.000 pkg_resources.py:44(_declare_state)
        4    0.000    0.000    0.000    0.000 pkg_resources.py:493(__iter__)
        6    0.000    0.000    0.000    0.000 pkg_resources.py:506(add)
        1    0.000    0.000    0.001    0.001 pkg_resources.py:673(subscribe)
        3    0.000    0.000    0.000    0.000 pkg_resources.py:681(_added_new)
        1    0.000    0.000    0.002    0.002 pkg_resources.py:698(Environment)
        1    0.000    0.000    0.002    0.002 pkg_resources.py:83(get_supported_platform)
        1    0.000    0.000    0.000    0.000 pkg_resources.py:844(ExtractionError)
        1    0.000    0.000    0.000    0.000 pkg_resources.py:862(ResourceManager)
        1    0.000    0.000    0.000    0.000 pkg_resources.py:866(__init__)
        1    0.000    0.000    0.000    0.000 pkg_resources.py:869(resource_exists)
        1    0.000    0.000    0.000    0.000 pkg_resources.py:885(resource_stream)
        1    0.013    0.013    0.023    0.023 pkgdata.py:18(<module>)
        1    0.000    0.000    0.000    0.000 pkgdata.py:34(getResource)
       18    0.000    0.000    0.000    0.000 pkgutil.py:173(__init__)
       24    0.000    0.000    0.000    0.000 pkgutil.py:366(get_importer)
        2    0.000    0.000    0.003    0.002 random.py:100(seed)
      319    0.000    0.000    0.000    0.000 random.py:272(choice)
        1    0.001    0.001    0.005    0.005 random.py:40(<module>)
        1    0.000    0.000    0.000    0.000 random.py:651(WichmannHill)
        1    0.000    0.000    0.000    0.000 random.py:72(Random)
        1    0.000    0.000    0.000    0.000 random.py:801(SystemRandom)
        1    0.000    0.000    0.003    0.003 random.py:91(__init__)
       12    0.000    0.000    0.000    0.000 re.py:144(sub)
       20    0.000    0.000    0.013    0.001 re.py:188(compile)
       32    0.000    0.000    0.014    0.000 re.py:226(_compile)
        1    0.000    0.000    0.000    0.000 rencode.py:106(AlreadyRegistered)
        1    0.000    0.000    0.000    0.000 rencode.py:108(NotRegistered)
        1    0.000    0.000    0.000    0.000 rencode.py:116(NotSerializable)
        1    0.000    0.000    0.000    0.000 rencode.py:128(_SerializableRegistry)
        1    0.000    0.000    0.000    0.000 rencode.py:130(__init__)
        1    0.001    0.001    0.017    0.017 rencode.py:18(<module>)
   250568    0.126    0.000    0.161    0.000 rencode.py:229(decode_intb)
   299821    0.162    0.000    0.202    0.000 rencode.py:233(decode_inth)
   143774    0.079    0.000    0.100    0.000 rencode.py:237(decode_intl)
   286994    0.164    0.000    0.210    0.000 rencode.py:245(decode_float)
      729    0.127    0.000    3.282    0.005 rencode.py:281(decode_dict)
        3    0.000    0.000    0.000    0.000 rencode.py:288(decode_true)
        2    0.000    0.000    0.000    0.000 rencode.py:291(decode_false)
        1    0.000    0.000    0.000    0.000 rencode.py:332(make_fixed_length_string_decoders)
       64    0.000    0.000    0.000    0.000 rencode.py:333(make_decoder)
  1039415    0.586    0.000    1.334    0.000 rencode.py:334(f_fixed_string)
        1    0.001    0.001    0.001    0.001 rencode.py:342(make_fixed_length_list_decoders)
       32    0.000    0.000    0.000    0.000 rencode.py:343(make_decoder)
        1    0.000    0.000    0.000    0.000 rencode.py:356(make_fixed_length_tuple_decoders)
       32    0.000    0.000    0.000    0.000 rencode.py:357(make_decoder)
   145143    0.283    0.000    0.537    0.000 rencode.py:358(f_fixed_tuple)
        1    0.000    0.000    0.000    0.000 rencode.py:370(make_fixed_length_int_decoders)
       64    0.000    0.000    0.000    0.000 rencode.py:371(make_decoder)
   326953    0.052    0.000    0.052    0.000 rencode.py:372(f)
        1    0.000    0.000    0.000    0.000 rencode.py:382(make_fixed_length_dict_decoders)
       25    0.000    0.000    0.000    0.000 rencode.py:383(make_decoder)
150725/933    1.053    0.000    3.622    0.004 rencode.py:384(f)
      933    0.003    0.000    3.625    0.004 rencode.py:396(loads)
      236    0.000    0.000    0.001    0.000 rencode.py:438(encode_string)
       60    0.000    0.000    0.002    0.000 rencode.py:468(encode_dict)
       60    0.000    0.000    0.002    0.000 rencode.py:512(dumps)
        1    0.000    0.000    0.000    0.000 serialize.py:1(<module>)
      896    0.015    0.000    0.689    0.001 serialize.py:29(unserialize_players)
     1792    0.434    0.000    0.663    0.000 serialize.py:42(unserialize_sprites)
        1    0.000    0.000    0.000    0.000 simulator.py:1(<module>)
     9020    0.018    0.000    0.039    0.000 simulator.py:115(enforce_popcap)
       63    0.000    0.000    0.001    0.000 simulator.py:128(kill_sprite)
        1    0.000    0.000    0.000    0.000 simulator.py:135(Traits)
     1794    0.005    0.000    0.007    0.000 simulator.py:136(__init__)
        1    0.000    0.000    0.000    0.000 simulator.py:17(LiveBehavior)
        1    0.000    0.000    0.000    0.000 simulator.py:181(CellSprite)
        1    0.000    0.000    0.000    0.000 simulator.py:25(PhotosynthesisBehavior)
      313    0.002    0.000    0.003    0.000 simulator.py:266(__init__)
   796654    2.510    0.000    4.012    0.000 simulator.py:321(update)
   113877    0.308    0.000    0.713    0.000 simulator.py:397(switch_frame)
        1    0.000    0.000    0.000    0.000 simulator.py:434(Simulator)
        1    0.003    0.003    2.872    2.872 simulator.py:435(pre_load_images)
        1    0.000    0.000    2.922    2.922 simulator.py:458(__init__)
        2    0.000    0.000    0.000    0.000 simulator.py:482(add_player)
        1    0.000    0.000    0.000    0.000 simulator.py:505(start)
     4510    0.099    0.000   60.031    0.013 simulator.py:515(update)
        1    0.000    0.000    0.000    0.000 simulator.py:59(Player)
        1    0.000    0.000    0.000    0.000 simulator.py:6(Behavior)
        2    0.000    0.000    0.000    0.000 simulator.py:60(__init__)
      313    0.000    0.000    0.000    0.000 simulator.py:83(next_sprite_id)
      313    0.001    0.000    0.005    0.000 simulator.py:87(add_sprite)
        1    0.001    0.001    0.001    0.001 sndarray.py:58(<module>)
        1    0.000    0.000    0.000    0.000 socket.py:167(_closedsocket)
        1    0.000    0.000    0.000    0.000 socket.py:179(_socketobject)
        1    0.000    0.000    0.000    0.000 socket.py:185(__init__)
        5    0.000    0.000    0.002    0.000 socket.py:223(meth)
        1    0.000    0.000    0.000    0.000 socket.py:235(_fileobject)
        1    0.002    0.002    0.002    0.002 socket.py:45(<module>)
        1    0.000    0.000    0.000    0.000 soundmanager.py:1(<module>)
        1    0.000    0.000    0.000    0.000 soundmanager.py:29(sound_init)
        2    0.000    0.000    0.011    0.006 soundmanager.py:37(load_and_play_song)
        1    0.000    0.000    0.000    0.000 spawn.py:7(<module>)
        1    0.000    0.000    0.000    0.000 sprite.py:106(Sprite)
      313    0.000    0.000    0.000    0.000 sprite.py:121(__init__)
        1    0.000    0.000    0.000    0.000 sprite.py:1213(GroupSingle)
        1    0.000    0.000    0.000    0.000 sprite.py:1292(collide_rect_ratio)
        1    0.000    0.000    0.000    0.000 sprite.py:1382(collide_circle_ratio)
      313    0.000    0.000    0.000    0.000 sprite.py:162(add_internal)
       63    0.000    0.000    0.000    0.000 sprite.py:165(remove_internal)
        1    0.000    0.000    0.000    0.000 sprite.py:221(DirtySprite)
        1    0.000    0.000    0.000    0.000 sprite.py:284(AbstractGroup)
        2    0.000    0.000    0.000    0.000 sprite.py:299(__init__)
    28852    0.121    0.000    0.121    0.000 sprite.py:303(sprites)
      313    0.000    0.000    0.000    0.000 sprite.py:316(add_internal)
       63    0.000    0.000    0.000    0.000 sprite.py:319(remove_internal)
      376    0.000    0.000    0.000    0.000 sprite.py:325(has_internal)
      315    0.000    0.000    0.001    0.000 sprite.py:345(add)
       63    0.000    0.000    0.000    0.000 sprite.py:380(remove)
     9020    0.496    0.000    4.552    0.001 sprite.py:452(update)
     9020    0.527    0.000    8.051    0.001 sprite.py:464(draw)
        1    0.000    0.000    0.000    0.000 sprite.py:531(Group)
        2    0.000    0.000    0.000    0.000 sprite.py:550(__init__)
        1    0.000    0.000    0.000    0.000 sprite.py:557(RenderUpdates)
        1    0.000    0.000    0.000    0.000 sprite.py:586(OrderedUpdates)
