Server launched
         4550494 function calls (4283388 primitive calls) in 3.531 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.002    0.002 pkg_resources.py:83(get_supported_platform)
        1    0.000    0.000    0.000    0.000 pkg_resources.py:844(ExtractionError)
        1    0.000    0.000    0.000    0.000 pkg_resources.py:862(ResourceManager)
        1    0.000    0.000    0.000    0.000 pkg_resources.py:866(__init__)
        1    0.000    0.000    0.000    0.000 pkg_resources.py:869(resource_exists)
        1    0.000    0.000    0.000    0.000 pkg_resources.py:885(resource_stream)
        1    0.013    0.013    0.023    0.023 pkgdata.py:18(<module>)
        1    0.000    0.000    0.000    0.000 pkgdata.py:34(getResource)
       18    0.000    0.000    0.000    0.000 pkgutil.py:173(__init__)
       24    0.000    0.000    0.000    0.000 pkgutil.py:366(get_importer)
        2    0.000    0.000    0.003    0.002 random.py:100(seed)
        1    0.001    0.001    0.005    0.005 random.py:40(<module>)
        1    0.000    0.000    0.000    0.000 random.py:651(WichmannHill)
        1    0.000    0.000    0.000    0.000 random.py:72(Random)
        1    0.000    0.000    0.000    0.000 random.py:801(SystemRandom)
        1    0.000    0.000    0.003    0.003 random.py:91(__init__)
       12    0.000    0.000    0.000    0.000 re.py:144(sub)
       20    0.000    0.000    0.013    0.001 re.py:188(compile)
       32    0.000    0.000    0.014    0.000 re.py:226(_compile)
        1    0.000    0.000    0.000    0.000 rencode.py:106(AlreadyRegistered)
        1    0.000    0.000    0.000    0.000 rencode.py:108(NotRegistered)
        1    0.000    0.000    0.000    0.000 rencode.py:116(NotSerializable)
        1    0.000    0.000    0.000    0.000 rencode.py:128(_SerializableRegistry)
        1    0.000    0.000    0.000    0.000 rencode.py:130(__init__)
        1    0.001    0.001    0.017    0.017 rencode.py:18(<module>)
        1    0.000    0.000    0.000    0.000 rencode.py:332(make_fixed_length_string_decoders)
       64    0.000    0.000    0.000    0.000 rencode.py:333(make_decoder)
        1    0.000    0.000    0.000    0.000 rencode.py:342(make_fixed_length_list_decoders)
       32    0.000    0.000    0.000    0.000 rencode.py:343(make_decoder)
        1    0.000    0.000    0.000    0.000 rencode.py:356(make_fixed_length_tuple_decoders)
       32    0.000    0.000    0.000    0.000 rencode.py:357(make_decoder)
        1    0.000    0.000    0.000    0.000 rencode.py:370(make_fixed_length_int_decoders)
       64    0.000    0.000    0.000    0.000 rencode.py:371(make_decoder)
        1    0.000    0.000    0.000    0.000 rencode.py:382(make_fixed_length_dict_decoders)
       25    0.000    0.000    0.000    0.000 rencode.py:383(make_decoder)
        1    0.000    0.000    0.000    0.000 serialize.py:1(<module>)
        1    0.000    0.000    0.000    0.000 server.py:12(ServerChannel)
        1    0.000    0.000    0.050    0.050 server.py:154(Reset)
        1    0.610    0.610    3.230    3.230 server.py:184(Launch)
        1    0.005    0.005    3.531    3.531 server.py:2(<module>)
        1    0.000    0.000    0.000    0.000 server.py:53(LD24Server)
        1    0.000    0.000    0.053    0.053 server.py:56(__init__)
   266049    0.255    0.000    0.473    0.000 server.py:87(UpdateNetwork)
        1    0.001    0.001    0.004    0.004 simulator.py:1(<module>)
        1    0.000    0.000    0.000    0.000 simulator.py:140(Traits)
        1    0.000    0.000    0.000    0.000 simulator.py:17(LiveBehavior)
        1    0.000    0.000    0.000    0.000 simulator.py:186(CellSprite)
        1    0.000    0.000    0.000    0.000 simulator.py:25(PhotosynthesisBehavior)
        1    0.000    0.000    0.000    0.000 simulator.py:439(Simulator)
        1    0.000    0.000    0.000    0.000 simulator.py:452(pre_load_blanks)
        1    0.000    0.000    0.050    0.050 simulator.py:463(__init__)
        1    0.000    0.000    0.000    0.000 simulator.py:59(Player)
        1    0.000    0.000    0.000    0.000 simulator.py:6(Behavior)
        1    0.001    0.001    0.001    0.001 sndarray.py:58(<module>)
        1    0.000    0.000    0.000    0.000 socket.py:167(_closedsocket)
        1    0.000    0.000    0.000    0.000 socket.py:179(_socketobject)
        1    0.000    0.000    0.000    0.000 socket.py:185(__init__)
        7    0.000    0.000    0.002    0.000 socket.py:223(meth)
        1    0.000    0.000    0.000    0.000 socket.py:235(_fileobject)
        1    0.002    0.002    0.002    0.002 socket.py:45(<module>)
        1    0.000    0.000    0.000    0.000 spawn.py:7(<module>)
        1    0.000    0.000    0.000    0.000 sprite.py:106(Sprite)
        1    0.000    0.000    0.000    0.000 sprite.py:1213(GroupSingle)
        1    0.000    0.000    0.000    0.000 sprite.py:1292(collide_rect_ratio)
        1    0.000    0.000    0.000    0.000 sprite.py:1382(collide_circle_ratio)
        1    0.000    0.000    0.000    0.000 sprite.py:221(DirtySprite)
        1    0.000    0.000    0.000    0.000 sprite.py:284(AbstractGroup)
        1    0.000    0.000    0.000    0.000 sprite.py:531(Group)
        1    0.000    0.000    0.000    0.000 sprite.py:557(RenderUpdates)
        1    0.000    0.000    0.000    0.000 sprite.py:586(OrderedUpdates)
        1    0.000    0.000    0.000    0.000 sprite.py:613(LayeredUpdates)
        1    0.001    0.001    0.001    0.001 sprite.py:67(<module>)
        1    0.000    0.000    0.000    0.000 sprite.py:943(LayeredDirty)
      138    0.000    0.000    0.003    0.000 sre_compile.py:178(_compile_charset)
      138    0.002    0.000    0.002    0.000 sre_compile.py:207(_optimize_charset)
      372    0.000    0.000    0.000    0.000 sre_compile.py:24(_identityfunction)
       20    0.000    0.000    0.000    0.000 sre_compile.py:258(_mk_bitmap)
   348/21    0.002    0.000    0.006    0.000 sre_compile.py:32(_compile)
      154    0.000    0.000    0.000    0.000 sre_compile.py:354(_simple)
       21    0.000    0.000    0.001    0.000 sre_compile.py:361(_compile_info)
       42    0.000    0.000    0.000    0.000 sre_compile.py:474(isstring)
       21    0.000    0.000    0.007    0.000 sre_compile.py:480(_code)
       21    0.000    0.000    0.013    0.001 sre_compile.py:495(compile)
      727    0.000    0.000    0.000    0.000 sre_parse.py:126(__len__)
     1499    0.001    0.000    0.001    0.000 sre_parse.py:130(__getitem__)
      154    0.000    0.000    0.000    0.000 sre_parse.py:134(__setitem__)
      433    0.000    0.000    0.000    0.000 sre_parse.py:138(append)
  500/175    0.001    0.000    0.001    0.000 sre_parse.py:140(getwidth)
       21    0.000    0.000    0.000    0.000 sre_parse.py:178(__init__)
     1196    0.001    0.000    0.001    0.000 sre_parse.py:182(__next)
      884    0.000    0.000    0.000    0.000 sre_parse.py:195(match)
      962    0.000    0.000    0.001    0.000 sre_parse.py:201(get)
       16    0.000    0.000    0.000    0.000 sre_parse.py:210(isident)
        4    0.000    0.000    0.000    0.000 sre_parse.py:216(isname)
       38    0.000    0.000    0.000    0.000 sre_parse.py:225(_class_escape)
       93    0.000    0.000    0.000    0.000 sre_parse.py:257(_escape)
    94/21    0.001    0.000    0.006    0.000 sre_parse.py:301(_parse_sub)
   160/21    0.002    0.000    0.006    0.000 sre_parse.py:379(_parse)
       21    0.000    0.000    0.006    0.000 sre_parse.py:663(parse)
       21    0.000    0.000    0.000    0.000 sre_parse.py:67(__init__)
       61    0.000    0.000    0.000    0.000 sre_parse.py:72(opengroup)
       61    0.000    0.000    0.000    0.000 sre_parse.py:83(closegroup)
      348    0.000    0.000    0.000    0.000 sre_parse.py:90(__init__)
        2    0.000    0.000    0.000    0.000 string.py:351(find)
        1    0.001    0.001    0.002    0.002 surfarray.py:61(<module>)
        1    0.000    0.000    0.000    0.000 sysfont.py:21(<module>)
        1    0.000    0.000    0.001    0.001 threading.py:1(<module>)
        1    0.000    0.000    0.000    0.000 threading.py:103(_RLock)
        2    0.000    0.000    0.000    0.000 threading.py:180(Condition)
        1    0.000    0.000    0.000    0.000 threading.py:183(_Condition)
        2    0.000    0.000    0.000    0.000 threading.py:185(__init__)
        1    0.000    0.000    0.000    0.000 threading.py:225(_is_owned)
        1    0.000    0.000    0.000    0.000 threading.py:276(notify)
        1    0.000    0.000    0.000    0.000 threading.py:294(notifyAll)
        1    0.000    0.000    0.000    0.000 threading.py:303(_Semaphore)
        1    0.000    0.000    0.000    0.000 threading.py:351(_BoundedSemaphore)
        1    0.000    0.000    0.000    0.000 threading.py:363(Event)
        1    0.000    0.000    0.000    0.000 threading.py:366(_Event)
        1    0.000    0.000    0.000    0.000 threading.py:370(__init__)
        1    0.000    0.000    0.000    0.000 threading.py:384(set)
        1    0.000    0.000    0.000    0.000 threading.py:423(Thread)
        1    0.000    0.000    0.000    0.000 threading.py:435(__init__)
        1    0.000    0.000    0.000    0.000 threading.py:530(_set_ident)
        1    0.000    0.000    0.000    0.000 threading.py:55(_Verbose)
        4    0.000    0.000    0.000    0.000 threading.py:57(__init__)
        1    0.000    0.000    0.000    0.000 threading.py:62(_note)
        1    0.000    0.000    0.000    0.000 threading.py:732(_Timer)
        1    0.000    0.000    0.000    0.000 threading.py:761(_MainThread)
        1    0.000    0.000    0.000    0.000 threading.py:763(__init__)
        1    0.000    0.000    0.000    0.000 threading.py:770(_set_daemon)
        1    0.000    0.000    0.000    0.000 threading.py:801(_DummyThread)
        1    0.000    0.000    0.000    0.000 token.py:3(<module>)
        1    0.000    0.000    0.000    0.000 tokenize.py:145(TokenError)
        1    0.000    0.000    0.000    0.000 tokenize.py:147(StopTokenizing)
        1    0.000    0.000    0.000    0.000 tokenize.py:178(Untokenizer)
        1    0.000    0.000    0.011    0.011 tokenize.py:23(<module>)
       19    0.000    0.000    0.000    0.000 tokenize.py:44(group)
        1    0.000    0.000    0.000    0.000 tokenize.py:45(any)
        2    0.000    0.000    0.000    0.000 tokenize.py:46(maybe)
        1    0.000    0.000    0.000    0.000 util.py:16(get_platform)
        1    0.001    0.001    0.001    0.001 util.py:5(<module>)
        1    0.000    0.000    0.000    0.000 version.py:28(<module>)
        1    0.000    0.000    0.000    0.000 warnings.py:45(filterwarnings)
        1    0.000    0.000    0.000    0.000 weakref.py:243(__init__)
   266049    0.118    0.000    0.144    0.000 weakref.py:326(iterkeys)
   266049    0.073    0.000    0.073    0.000 weakref.py:332(__iter__)
        1    0.000    0.000    0.000    0.000 zblevel.py:13(ZbTile)
        1    0.000    0.000    0.000    0.000 zblevel.py:20(ZbLevel)
        1    0.001    0.001    0.003    0.003 zblevel.py:4(<module>)
        1    0.000    0.000    0.000    0.000 zblevel.py:6(ZbObject)
        1    0.000    0.000    0.000    0.000 zbscreen.py:1(<module>)
        1    0.000    0.000    0.000    0.000 zbscreen.py:4(ZbScreen)
        1    0.000    0.000    0.000    0.000 {_hashlib.openssl_md5}
        1    0.000    0.000    0.000    0.000 {_hashlib.openssl_sha1}
        1    0.000    0.000    0.000    0.000 {_hashlib.openssl_sha224}
        1    0.000    0.000    0.000    0.000 {_hashlib.openssl_sha256}
        1    0.000    0.000    0.000    0.000 {_hashlib.openssl_sha384}
        1    0.000    0.000    0.000    0.000 {_hashlib.openssl_sha512}
       21    0.000    0.000    0.000    0.000 {_sre.compile}
       20    0.000    0.000    0.000    0.000 {_sre.getlower}
        1    0.000    0.000    0.000    0.000 {_warnings.warn}
       30    0.000    0.000    0.000    0.000 {all}
        2    0.000    0.000    0.000    0.000 {binascii.hexlify}
      487    0.000    0.000    0.000    0.000 {chr}
        4    0.000    0.000    0.000    0.000 {dir}
        2    0.000    0.000    0.000    0.000 {function seed at 0x00000000026E27B8}
       85    0.000    0.000    0.000    0.000 {getattr}
       12    0.000    0.000    0.000    0.000 {globals}
        9    0.000    0.000    0.000    0.000 {hasattr}
        3    0.000    0.000    0.000    0.000 {imp.acquire_lock}
        3    0.000    0.000    0.000    0.000 {imp.release_lock}
     1616    0.000    0.000    0.000    0.000 {isinstance}
        1    0.000    0.000    0.000    0.000 {issubclass}
537066/270824    0.139    0.000    0.201    0.000 {len}
        6    0.000    0.000    0.000    0.000 {locals}
       11    0.000    0.000    0.012    0.001 {map}
        1    0.000    0.000    0.000    0.000 {math.exp}
        2    0.000    0.000    0.000    0.000 {math.log}
        1    0.000    0.000    0.000    0.000 {math.sqrt}
      106    0.000    0.000    0.000    0.000 {max}
       30    0.000    0.000    0.000    0.000 {method '__contains__' of 'frozenset' objects}
        2    0.000    0.000    0.000    0.000 {method 'acquire' of 'thread.lock' objects}
       24    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
